date,time_utc,location,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,precipitation_mm,day_min_c,day_max_c,conditions
2026-08-03,19:03:27,"Lichtenburg, North West",9.8,6.0,45,10.1,0.0,3.3,19.3,Clear sky
2026-08-03,19:11:07,"Lichtenburg, North West",9.8,6.0,45,10.1,0.0,3.3,19.3,Clear sky
2026-08-04,06:20:04,"Lichtenburg, North West",8.1,3.9,44,10.9,0.0,4.2,20.8,Clear sky
2026-08-04,23:58:55,"Lichtenburg, North West",9.3,4.8,33,10.7,0.0,7.2,21.4,Clear sky
2026-08-05,23:55:34,"Lichtenburg, North West",10.6,6.2,36,12.2,0.0,8.9,23.4,Clear sky
2026-08-07,01:41:06,"Lichtenburg, North West",9.1,6.0,44,4.0,0.0,7.2,22.9,Clear sky
2026-08-07,23:29:05,"Lichtenburg, North West",9.9,6.6,47,6.8,0.0,8.8,21.5,Clear sky
2026-08-08,23:22:56,"Lichtenburg, North West",10.4,7.0,56,10.9,0.0,8.0,21.5,Clear sky
2026-08-09,20:45:13,"Lichtenburg, North West",13.8,9.0,41,18.6,0.0,8.0,21.6,Partly cloudy
2026-08-09,23:25:42,"Lichtenburg, North West",11.0,7.3,51,12.1,0.0,3.5,11.8,Overcast
2026-08-10,23:29:47,"Lichtenburg, North West",1.7,-1.9,96,11.2,0.0,1.5,10.3,Clear sky
2026-08-11,09:57:29,"Lichtenburg, North West",11.4,5.8,43,22.4,0.0,1.0,11.7,Overcast
2026-08-11,23:34:10,"Lichtenburg, North West",4.7,-0.6,93,25.7,0.1,4.7,14.1,Light drizzle
2026-08-12,23:35:05,"Lichtenburg, North West",8.4,4.0,70,18.8,0.0,4.4,16.6,Overcast
2026-08-13,23:35:32,"Lichtenburg, North West",5.9,3.6,85,5.1,0.0,5.9,17.3,Clear sky
2026-08-14,10:43:13,"Lichtenburg, North West",16.0,15.1,40,4.4,0.0,5.3,17.0,Clear sky
2026-08-14,23:16:26,"Lichtenburg, North West",5.5,3.2,85,5.0,0.0,4.0,18.7,Clear sky
2026-08-15,23:15:12,"Lichtenburg, North West",6.6,3.8,73,6.3,0.0,4.1,20.5,Clear sky
